Name,Action,Fantasy,Comedy,Drama,Adventure,School,Supernatural,Sci-Fi,Romance,Psychological,Gore,Mystery,Super Power,Adult Cast,Suspense,Award Winning,Horror,Military,Isekai,Historical,Ecchi,Survival,Harem,Mecha,Parody,Time Travel,Reincarnation,Mythology,Gag Humor,Vampire,Sports,Romantic Subtext,Martial Arts,Organized Crime,Avant Garde,Samurai,Slice of Life,Team Sports,Music,Detective,High Stakes Game,Love Polygon,Otaku Culture,Video Game,Space,Strategy Game,Childcare,Workplace,CGDCT,Anthropomorphic,Hentai,Delinquents,Iyashikei,Combat Sports,Gourmet,Mahou Shoujo,Erotica,Showbiz,Visual Arts,Girls Love,Racing,Magical Sex Shift,Medical,Boys Love,Performing Arts,Idols (Female),Educational,Reverse Harem,Pets,Crossdressing
Krazyyyyy,5.18,4.1,3.26,3.56,3.77,3.76,2.82,1.97,1.75,2.62,2.53,1.84,2.37,2.36,1.84,2.23,2.02,1.83,1.97,2.14,1.1,1.81,0.61,1.1,1.36,1.18,1.43,1.26,1.1,1.16,2.36,1.14,1.37,0.93,0.7,1.22,0.44,2.25,0.74,0.61,1.37,0.09,1.14,0.44,0,0.81,0.61,0.61,0,0.62,0,0.74,0,0,0,0,0.37,0.7,0,0,0,0,0,0.09,0.53,0,0,0,0,0
Krutish,3.83,2.38,3.68,2.86,2.96,3.18,2.76,1.87,1.95,2.12,1.81,1.67,2.06,2.22,1.9,2.13,0.74,2.08,1.53,1.79,1.3,1.77,0.32,1.25,1.44,1.16,1.36,1.44,1.73,1.02,1.25,1.36,0,1.18,1.08,1.02,1.02,1.25,1.11,0.97,0.32,1.24,0.69,0.42,0.8,0.45,0.69,1.32,1.11,0.64,0.8,0.96,0.68,0,0,0,0.18,0,0.85,0,0,0,0,0.8,0,0,0,0,0.8,0
Ks0345,5.12,4.11,3.25,3.61,3.82,2.29,3.06,3.03,1.66,2.17,2.33,1.91,2.06,1.91,1.97,2.25,1.1,1.74,1.45,2.23,1.22,2.02,0.59,1.1,1.71,1.93,1.47,0.82,1.24,0.92,0.8,0.98,1.09,1.02,0.85,1.51,1.18,0.8,0.74,0.65,0.65,0,0.6,0.46,0,0.39,0.95,0.65,0.53,0.7,1.53,0.76,0,0,0.33,0,0.56,0.65,0,0.56,0.59,0,0,0.07,0,0.53,0,0,0,0
Kunasenpai,4.58,3.56,4.0,3.27,3.4,2.67,3.1,3.4,2.54,2.56,2.46,2.71,1.66,2.24,2.13,2.17,2.27,1.91,1.52,1.97,1.99,1.47,1.45,1.88,1.42,1.17,1.05,1.48,1.6,1.6,0.88,1.06,1.3,0.95,1.32,1.3,0.69,0.34,0.97,1.15,0.8,0.75,0.56,0.56,1.27,0.62,0.69,0.62,0.58,0.73,0.12,0.62,0.55,0.7,0.43,0.62,0.37,0.57,0.34,0.68,0,0.56,0.54,0.04,0.3,0,0.26,0,0.13,0.37
Oubwio,5.26,3.2,4.2,3.84,3.65,4.01,2.63,1.99,1.91,1.7,2.4,1.98,2.53,2.46,2.01,2.4,0.61,2.59,0.66,2.71,0.86,2.34,0,0.35,1.73,1.57,0.56,1.45,2.08,0,2.42,1.14,1.02,1.81,0,1.64,0.8,2.42,0.74,0,0.61,0.44,0.44,0,0,0.44,1.18,0.99,0,0.7,0,1.41,0.7,0,0,0,0,0.61,0,0,0.7,0,0,0,0,0,0,0.7,0,0
Patiss0n,5.42,4.06,2.56,4.57,3.34,2.27,3.87,3.27,1.8,3.23,3.13,2.75,1.42,1.81,2.72,2.7,2.1,2.56,1.76,1.76,1.09,2.64,0.58,1.94,1.25,1.94,1.53,0.6,0,1.4,0,1.43,0.33,0.54,1.49,0.39,0.54,0,1.12,0.9,1.3,0,0,0,0.54,0.85,0.88,0,0.54,0.7,0,0.31,0.54,0,0,0.82,0,1.04,0,0.54,0,0,0,0,0,0,0,0,0,0
Pekyo,3.6,2.19,3.87,3.83,2.39,3.59,3.9,2.98,2.95,3.61,3.08,3.65,0.49,1.27,2.71,1.9,2.52,1.48,1.42,0.8,1.64,2.03,1.59,1.86,1.46,1.31,1.42,0.98,1.55,2.17,0.49,1.24,0,0.85,1.56,0,0.81,0.49,1.03,1.08,0.9,1.26,1.38,0.65,0,0.63,0,0.57,0.92,0.81,0,0.58,0.65,0,0.57,0.8,0.49,0.73,0.65,0.65,0,0,0,0,0,0,0,0,0,0
Rara019,5.22,5.58,2.94,4.58,4.3,3.28,2.54,2.09,3.23,2.15,1.94,1.56,1.72,1.81,2.15,2.49,0.65,1.75,2.69,1.26,1.58,2.06,1.54,0,0,0.86,1.98,1.16,1.16,0.95,0.78,0.8,0.61,1.52,0,0,1.36,0.78,1.46,0.61,1.44,1.6,0.92,1.18,0,0.7,0.61,0,0.61,0,0.74,0,0.8,0,0,0,0.7,0,0.61,0,0,0,0.61,0.8,0,0,0,0,0,0
Rishon007,5.04,3.29,2.79,4.37,2.45,1.98,3.84,3.12,1.93,3.14,2.13,3.39,2.54,2.34,3.08,2.65,1.25,2.2,1.38,1.43,1.25,1.87,0,2.13,1.22,2.06,1.32,0.81,0.81,1.23,0.76,1.06,1.42,0.71,1.5,0,0.81,0.76,0.77,1.15,0.8,0.31,0.43,0,0.15,0.54,0.6,0.54,0.61,1.19,0,0,0.81,0,0.31,0,0,0.92,0.38,0,0.61,0,0,0,0,0,0,0,0,0
thelambda,4.59,3.35,2.74,2.66,3.24,2.89,2.43,2.43,2.19,2.09,2.44,2.02,1.85,1.67,1.52,1.57,2.05,1.5,1.15,1.6,1.14,1.55,1.07,1.0,1.17,1.31,0.94,0.96,0.84,0.91,1.7,0.79,1.39,0.5,0.64,0.92,0.76,1.43,0.86,0.79,0.82,0.73,0.7,0.99,0.86,0.47,0.54,0,0.35,0.23,0,0.5,0.29,0.91,0.59,0,0.21,0,0.54,0.12,0.47,0,0,0,0,0,0,0.29,0,0
