Name,User Populariy,User Rating,Global Popularity,Global Rating,misc
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),5,6.0,236277,7.78,206
Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,5,6.6,224165,8.02,207
Kara no Kyoukai Movie 4: Garan no Dou,5,6.4,211096,7.83,208
Kara no Kyoukai Movie 5: Mujun Rasen,5,6.6,233626,8.52,209
Kenpuu Denki Berserk,10,8.5,625433,8.57,210
Kingdom 3rd Season,2,9.0,94349,8.81,211
Kizumonogatari I: Tekketsu-hen,10,7.6,515005,8.36,212
Kizumonogatari II: Nekketsu-hen,10,7.8,431757,8.57,213
Kizumonogatari III: Reiketsu-hen,10,7.8,447238,8.79,214
"Komi-san wa, Comyushou desu. 2nd Season",5,7.0,449364,8.06,215
Koukaku Kidoutai,10,7.7,615123,8.27,216
Made in Abyss,11,7.545,1323606,8.66,217
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8,8.0,437033,8.62,218
Made in Abyss: Retsujitsu no Ougonkyou,7,8.143,405404,8.65,219
Mahou Shoujo Madoka★Magica,5,8.0,1252013,8.36,220
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,2,8.0,367441,8.47,221
Mirai Nikki (TV),12,6.0,1968309,7.41,222
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,4,7.25,152280,7.86,223
Naruto,16,6.125,2763501,7.99,224
Neon Genesis Evangelion,13,8.462,1753022,8.35,225
Neon Genesis Evangelion: The End of Evangelion,13,8.538,899024,8.55,226
Overlord,8,6.0,1537482,7.91,227
Paprika,8,7.25,522187,8.04,228
Perfect Blue,14,8.5,673775,8.54,229
School Days,10,4.3,651362,5.52,230
Sennen Joyuu,4,8.25,180048,8.25,231
Serial Experiments Lain,9,8.222,740105,8.09,232
Shadows House,2,7.5,236466,7.79,233
Shelter (Music),4,6.75,320251,8.31,234
Shiguang Dailiren,9,8.111,327011,8.69,235
Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin,6,7.0,35094,7.56,236
Shingeki no Kyojin OVA,8,5.875,449194,7.87,237
Shingeki no Kyojin: Kuinaki Sentaku,12,7.25,497173,8.41,238
Shingeki no Kyojin: Lost Girls,9,5.889,296800,7.81,239
Shingeki! Kyojin Chuugakkou,6,6.667,255472,7.20,240
Shoujo Shuumatsu Ryokou,3,7.667,328957,8.21,241
Sonny Boy,6,6.833,290969,7.78,242
Spy x Family Part 2,11,6.727,816473,8.29,243
Steins;Gate,16,9.062,2482331,9.07,244
Tenshi no Tamago,3,7.0,143762,7.71,245
The God of High School,7,4.714,877271,7.07,246
Tokyo Ghoul √A,14,5.357,1729723,7.02,247
Tokyo Ghoul:re,10,3.9,1143595,6.37,248
Tokyo Ghoul:re 2nd Season,9,3.778,847927,6.43,249
Tokyo Magnitude 8.0,1,5.0,292578,8.01,250
Violet Evergarden,15,8.067,1711106,8.67,251
Vivy: Fluorite Eye's Song,7,7.857,511920,8.41,252
Yagate Kimi ni Naru,1,7.0,328121,7.90,253
Yamada-kun to 7-nin no Majo,4,6.25,767833,7.55,254
Youjo Senki,5,7.6,885626,7.96,255
Ansatsu Kyoushitsu,12,6.333,1949073,8.09,256
Bleach,12,6.833,1896499,7.93,257
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,2,8.0,192455,8.96,258
Jujutsu Kaisen 2nd Season,5,9.2,593284,8.82,259
Yuu☆Yuu☆Hakusho,3,7.0,665131,8.46,260
3-gatsu no Lion,4,8.25,661848,8.38,261
3-gatsu no Lion 2nd Season,4,9.25,389752,8.93,262
91 Days,8,7.75,700886,7.83,263
Akira,11,7.545,821511,8.16,264
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,1,4.0,289573,7.84,265
Ao Ashi,4,7.25,192960,8.21,266
Ao no Exorcist,8,5.375,1876754,7.49,267
B-Legend! Battle B-Daman,1,5.0,13422,6.30,268
Baccano!,7,8.0,888597,8.36,269
Baccano! Specials,3,6.667,176719,8.09,270
Baki,6,6.5,400858,7.31,271
Bakugan Battle Brawlers,1,4.0,105179,6.43,272
Bakugan Battle Brawlers: Gundalian Invaders,1,4.0,47420,6.31,273
Bakugan Battle Brawlers: New Vestroia,1,4.0,65239,6.54,274
Bakuten Shoot Beyblade,1,5.0,110757,6.77,275
Bakuten Shoot Beyblade 2002,1,4.0,66598,6.71,276
Bakuten Shoot Beyblade G Revolution,1,5.0,47880,6.95,277
Ballroom e Youkoso,1,9.0,324094,8.18,278
Barakamon,3,7.333,647172,8.38,279
Beastars,4,7.0,825387,7.83,280
Beastars 2nd Season,1,9.0,423690,7.80,281
Berserk: Ougon Jidai-hen I - Haou no Tamago,4,7.0,222095,7.70,282
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,5,7.2,206994,7.87,283
Berserk: Ougon Jidai-hen III - Kourin,5,7.6,218074,8.20,284
Blue Lock,10,7.3,597487,8.31,285
Blue Period,2,5.0,440389,7.81,286
Boku no Hero Academia 6th Season,10,7.2,578139,8.34,287
Boku no Hero Academia the Movie 1: Futari no Hero,9,5.222,726815,7.55,288
Boku no Hero Academia the Movie 2: Heroes:Rising,9,6.0,549948,7.97,289
Boruto: Naruto Next Generations,8,4.375,840903,6.05,290
Boruto: Naruto the Movie,6,5.833,453902,7.39,291
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,1,7.0,111220,7.33,292
Btooom!,7,6.571,841898,7.29,293
Cross Fight B-Daman,1,5.0,8273,6.54,294
Death Billiards,3,7.667,235171,7.88,295
Deca-Dence,3,7.0,293298,7.37,296
Devilman: Crybaby,12,6.167,1105792,7.75,297
Digimon Adventure,3,6.333,393480,7.77,298
Digimon Adventure Movie,1,7.0,111321,7.59,299
Digimon Adventure: Last Evolution Kizuna,1,8.0,41646,8.17,300
Dorohedoro,4,6.25,520810,8.05,301
Durarara!!,4,8.0,1376723,8.11,302
Enen no Shouboutai: Ni no Shou,6,7.0,733722,7.81,303
Fairy Tail,8,5.625,1699932,7.57,304
Fairy Tail (2014),6,5.833,968048,7.65,305
Fairy Tail Movie 2: Dragon Cry,3,5.333,185979,7.54,306
Fairy Tail: Final Series,5,5.0,489071,7.58,307
Gintama,8,8.875,1037596,8.94,308
Gintama Movie 1: Shinyaku Benizakura-hen,5,7.8,159655,8.52,309
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,3,7.333,233251,8.91,310
Gintama',6,8.833,536571,9.04,311
Gintama': Enchousen,4,8.0,314591,9.03,312
Gintama.,3,6.667,303484,8.98,313
Gintama.: Porori-hen,3,6.333,194859,8.52,314
Gintama.: Shirogane no Tamashii-hen,2,7.5,204452,8.81,315
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,2,7.0,190146,8.88,316
Gintama: The Final,3,7.333,138528,9.04,317
Gintama: The Semi-Final,2,7.0,71886,8.47,318
Gintama°,4,8.25,607632,9.06,319
Gintama°: Aizome Kaori-hen,2,7.0,83029,8.39,320
Great Pretender,11,7.818,631006,8.22,321
Guilty Crown,2,4.0,1192534,7.41,322
Gyakkyou Burai Kaiji: Hakairoku-hen,2,9.0,188531,8.25,323
Haikyuu!! Riku vs. Kuu,3,6.0,288463,7.83,324
Hajime no Ippo,5,8.2,561928,8.76,325
Hajime no Ippo: New Challenger,2,7.5,273946,8.66,326
Inuyashiki,2,8.5,629241,7.64,327
Ishuzoku Reviewers,5,6.6,461291,7.42,328
Jigokuraku,13,7.0,571002,8.15,329
Josee to Tora to Sakana-tachi,2,5.5,397562,8.41,330
Juusen Battle Monsuno,1,4.0,8754,6.44,331
Kami no Tou,3,7.0,887593,7.55,332
Katekyou Hitman Reborn!,2,7.5,548268,8.13,333
Kaze ga Tsuyoku Fuiteiru,3,8.0,291056,8.39,334
Kaze Tachinu,1,9.0,321048,8.11,335
Kekkai Sensen,6,6.833,852939,7.60,336
Kekkai Sensen & Beyond,4,6.75,425357,7.79,337
Kill la Kill,8,7.25,1680183,8.04,338
Kill la Kill Specials,2,7.5,197283,7.68,339
Kimetsu no Yaiba: Katanakaji no Sato-hen,11,5.727,687590,8.31,340
Kino no Tabi: The Beautiful World,2,8.0,304622,8.29,341
Kishibe Rohan wa Ugokanai,3,7.667,144275,7.62,342
Kodai Ouja Kyouryuu King,1,3.0,25586,6.36,343
Kotonoha no Niwa,5,7.6,839775,7.89,344
Kurenai no Buta,3,7.333,239933,7.95,345
Kuroko no Basket,5,7.4,1172149,8.06,346
Kuroko no Basket 2nd Season,4,8.25,832692,8.22,347
Kuroko no Basket 3rd Season,4,8.25,740631,8.30,348
Kuroko no Basket Movie 4: Last Game,3,8.0,293856,8.08,349
Megalo Box,2,8.0,495866,7.88,350
Metal Fight Beyblade,2,4.0,90081,6.88,351
Metal Fight Beyblade 4D,1,5.0,46139,6.99,352
Metal Fight Beyblade: Baku,1,5.0,51799,6.97,353
Mob Psycho 100 III,12,7.833,607721,8.71,354
Mononoke Hime,8,7.5,1212041,8.67,355
Monster,15,8.933,1049089,8.87,356
Nana,3,8.667,634675,8.54,357
Naruto: Shippuuden,13,7.0,2394872,8.26,358
Naruto: Shippuuden Movie 6 - Road to Ninja,4,4.75,337877,7.68,359
NHK ni Youkoso!,6,7.833,721267,8.31,360
Nomad: Megalo Box 2,2,8.0,194184,8.19,361
One Outs,2,7.5,232039,8.33,362
Ousama Ranking,6,7.167,600385,8.53,363
Overlord II,6,5.833,984908,7.76,364
Overlord III,4,4.75,871339,7.92,365
Ping Pong the Animation,4,7.75,381398,8.62,366
Psycho-Pass,9,8.333,1591181,8.34,367
Pupa,2,1.5,184898,3.29,368
Radiant,2,6.0,206060,6.88,369
Redline,6,8.167,365470,8.28,370
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4,8.25,271843,8.71,371
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,3,7.667,214051,8.11,372
